Time,DroneID,X,Y,Z,Target position,Target Speed,Origin Lat,Origin Lon,Destination Lat,Destination Lon,Completed
290.00,FP000007,3979.75,60.96,-27189.11,"(3891.205, 60.96, -27240.84)",20,4584.16845703125,-26836.0078125,3688.001953125,-26895.34375,false
290.00,FP000008,4515.09,60.96,-26876.37,"(4237.696, 60.96, -27038.43)",20,4584.16845703125,-26836.0078125,1513.45959472656,-23988.0078125,false
300.00,FP000001,3296.64,60.96,-26195.58,"(3628.16, 60.96, -26001.92)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
300.00,FP000002,1903.43,60.96,-24688.51,"(1572.981, 60.96, -24881.47)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
300.00,FP000003,1511.37,60.96,-24778.49,"(1369.919, 60.96, -24535.93)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
300.00,FP000004,2277.55,60.96,-25288.19,"(2122.631, 60.96, -25024.63)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
300.00,FP000005,2774.20,60.96,-26133.03,"(2731.973, 60.96, -26061.21)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
300.00,FP000006,3386.14,91.44,-25590.27,"(3221.897, 91.44, -25310.89)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
300.00,FP000007,3860.79,30.48,-27189.12,"(3688.002, 30.48, -26895.34)",20,4584.16845703125,-26836.0078125,3688.001953125,-26895.34375,false
300.00,FP000008,4342.40,60.96,-26977.26,"(4237.696, 60.96, -27038.43)",20,4584.16845703125,-26836.0078125,1513.45959472656,-23988.0078125,false
310.00,FP000001,3469.34,60.96,-26094.70,"(3628.16, 60.96, -26001.92)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
310.00,FP000002,1730.72,60.96,-24789.37,"(1572.981, 60.96, -24881.47)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
310.00,FP000003,1410.62,60.96,-24605.71,"(1369.919, 60.96, -24535.93)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
310.00,FP000004,2176.20,60.96,-25115.77,"(2122.631, 60.96, -25024.63)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
310.00,FP000005,2672.84,60.96,-25960.62,"(2528.84, 60.96, -25715.69)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
310.00,FP000006,3284.78,91.44,-25417.85,"(3221.897, 91.44, -25310.89)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
310.00,FP000007,3759.39,30.48,-27016.72,"(3688.002, 30.48, -26895.34)",20,4584.16845703125,-26836.0078125,3688.001953125,-26895.34375,false
310.00,FP000008,4169.71,60.96,-27078.15,"(3891.205, 60.96, -27240.84)",20,4584.16845703125,-26836.0078125,1513.45959472656,-23988.0078125,false
310.00,FP000009,4584.17,0.00,-26836.01,"(4584.168, 30.48, -26836.01)",20,4584.16845703125,-26836.0078125,3221.89697265625,-25310.888671875,false
320.00,FP000001,3642.03,60.96,-25993.82,"(3974.649, 60.96, -25799.5)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
320.00,FP000002,1565.03,60.96,-24862.96,"(1369.919, 60.96, -24535.93)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
320.00,FP000003,1309.52,60.96,-24433.14,"(1166.875, 60.96, -24190.38)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
320.00,FP000004,2122.63,0.00,-25024.63,"(2122.631, 0, -25024.63)",20,4584.16845703125,-26836.0078125,2122.630859375,-25024.634765625,false
320.00,FP000005,2571.47,60.96,-25788.21,"(2528.84, 60.96, -25715.69)",20,4584.16845703125,-26836.0078125,820.271301269531,-24392.744140625,false
320.00,FP000006,3183.42,91.44,-25245.43,"(3018.794, 91.44, -24965.36)",20,4584.16845703125,-26836.0078125,2756.12133789063,-23726.330078125,false
320.00,FP000007,3688.00,0.00,-26895.34,"(3688.002, 0, -26895.34)",20,4584.16845703125,-26836.0078125,3688.001953125,-26895.34375,false
320.00,FP000008,3997.02,60.96,-27179.03,"(3891.205, 60.96, -27240.84)",20,4584.16845703125,-26836.0078125,1513.45959472656,-23988.0078125,false
320.00,FP000009,4480.56,60.96,-26896.55,"(4237.696, 60.96, -27038.43)",20,4584.16845703125,-26836.0078125,3221.89697265625,-25310.888671875,false
