Simulation_Time,Event_Type,Drone_1,Drone_2,Distance,Collision_Threshold,Drone_1_Position,Drone_2_Position,Drone_1_Speed,Drone_2_Speed
11793.00,COLLISION_END,FP000111,FP000115,62.23,30.00,"(10075.79,15.24,8096.79)","(10119.79,15.24,8140.79)",44.00,44.00
11794.00,COLLISION_END,FP000100,FP000115,59.91,30.00,"(10063.46,15.24,8164.40)","(10119.79,15.24,8184.79)",44.00,44.00
11812.00,COLLISION_START,FP000101,FP000119,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11812.00,COLLISION_START,FP000101,FP000114,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11812.00,COLLISION_START,FP000101,FP000106,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11822.00,COLLISION_START,FP000101,FP000121,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11822.00,COLLISION_START,FP000106,FP000121,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11822.00,COLLISION_START,FP000114,FP000121,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11822.00,COLLISION_START,FP000119,FP000121,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11887.00,COLLISION_START,FP000101,FP000103,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11887.00,COLLISION_START,FP000103,FP000121,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11887.00,COLLISION_START,FP000103,FP000106,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11887.00,COLLISION_START,FP000103,FP000119,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
11887.00,COLLISION_START,FP000103,FP000114,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12041.00,COLLISION_START,FP000106,FP000109,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12041.00,COLLISION_START,FP000103,FP000109,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12041.00,COLLISION_START,FP000109,FP000119,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12041.00,COLLISION_START,FP000109,FP000114,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12041.00,COLLISION_START,FP000109,FP000121,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12041.00,COLLISION_START,FP000101,FP000109,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12043.00,COLLISION_START,FP000085,FP000097,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
12043.00,COLLISION_START,FP000085,FP000092,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
12076.00,COLLISION_START,FP000103,FP000113,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12076.00,COLLISION_START,FP000109,FP000113,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12076.00,COLLISION_START,FP000101,FP000113,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12076.00,COLLISION_START,FP000106,FP000113,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12076.00,COLLISION_START,FP000113,FP000114,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12076.00,COLLISION_START,FP000113,FP000121,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12076.00,COLLISION_START,FP000113,FP000119,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
12099.00,COLLISION_START,FP000085,FP000091,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
12099.00,COLLISION_START,FP000091,FP000097,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
12099.00,COLLISION_START,FP000091,FP000092,0.00,30.00,"(4536.81,0.00,19027.54)","(4536.81,0.00,19027.54)",0.00,0.00
