OAS_NUMBER,VERIFICATION_STATUS,COUNTRY,STATE,CITY,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,LATITUDE_DMS,LONGITUDE_DMS,OBSTACLE_TYPE,QUANTITY,AGL_HT,AMSL_HT,LIGHTING,HORIZONTAL_ACCURACY,VERTICAL_ACCURACY,MARK_INDICATOR,FAA_STUDY_NUMBER,ACTION,JULIAN_DATE
36-124354,O,US,NY,BROOKLYN,40.736828,-73.959031,40 44 12.58N,073 57 32.51W,BLDG,1,333,352,N,4.0,D,N,2017AEA11031OE C,20,19023
36-189174,U,US,NY,NEW YORK,40.73685,-73.850928,40 44 12.66N,073 51 03.34W,BLDG,1,182,206,N,4.0,D,N,2021AEA05371OE A,20,21237
36-000962,O,US,NY,NEW YORK,40.736944,-73.993611,40 44 13.00N,073 59 37.00W,BLDG,1,283,320,U,3.0,C,U,C,20,14152
36-020815,O,US,NY,NEW YORK,40.736944,-73.984167,40 44 13.00N,073 59 03.00W,BLDG,1,89,112,N,4.0,D,N,2021AEA14915OE C,20,24051
36-198145,O,US,NY,NEW YORK,40.737031,-73.957967,40 44 13.31N,073 57 28.68W,BLDG,1,246,258,R,4.0,D,N,2021AEA14193OE A,20,23018
36-025437,O,US,NY,NEW YORK,40.737108,-74.00845,40 44 13.59N,074 00 30.42W,BLDG,1,130,142,N,2.0,C,N,2011AEA01547OE A,20,11223
36-197539,O,US,NY,NEW YORK,40.737247,-73.849989,40 44 14.09N,073 50 59.96W,BLDG,1,133,153,N,1.0,A,N,2019AEA09628OE A,20,22048
36-178627,O,US,NY,NEW YORK,40.737356,-73.850272,40 44 14.48N,073 51 00.98W,BLDG,1,53,72,N,1.0,A,N,2019AEA09648OE A,20,21165
36-029651,O,US,NY,NEW YORK,40.7375,-73.994444,40 44 15.00N,073 59 40.00W,BLDG,1,354,387,R,5.0,D,N,2012AEA02368OE A,20,14087
36-173316,O,US,NY,NEW YORK,40.7376,-73.958497,40 44 15.36N,073 57 30.59W,BLDG,1,333,350,R,4.0,D,N,2019AEA11527OE A,20,21060
36-197919,O,US,NY,BROOKLYN,40.737739,-73.956933,40 44 15.86N,073 57 24.96W,BLDG,1,343,355,R,1.0,A,N,2020AEA06069OE A,20,23025
36-020764,O,US,NY,NEW YORK,40.73785,-73.984228,40 44 16.26N,073 59 03.22W,BLDG,1,217,245,N,2.0,C,N,2010AEA01718OE A,20,10189
36-020750,O,US,NY,NEW YORK,40.737919,-73.99175,40 44 16.51N,073 59 30.30W,BLDG,1,160,199,N,2.0,C,N,2010AEA01709OE A,20,10132
36-197915,U,US,NY,BROOKLYN,40.738344,-73.957172,40 44 18.04N,073 57 25.82W,BLDG,1,448,460,R,1.0,A,N,2020AEA06065OE A,20,23025
36-000237,O,US,NY,BROOKLYN,40.738381,-73.93125,40 44 18.17N,073 55 52.50W,BLDG-TWR,1,335,385,N,5.0,D,N,2004AEA00222OE C,20,12201
36-129793,U,US,NY,NEW YORK,40.738742,-73.740833,40 44 19.47N,073 44 27.00W,POLE,1,30,213,N,4.0,D,N,2017AEA07388OE A,20,18037
36-160085,O,US,NY,LONG ISLAND CITY,40.738761,-73.960358,40 44 19.54N,073 57 37.29W,BLDG,1,324,337,R,4.0,D,N,2018AEA15478OE C,20,22067
36-001874,O,US,NY,NEW YORK,40.738889,-73.986944,40 44 20.00N,073 59 13.00W,BLDG,1,293,327,N,4.0,D,N,1994AEA00381OE C,20,14152
36-225724,U,US,NY,NEW YORK,40.739058,-73.959222,40 44 20.61N,073 57 33.20W,BLDG,1,65,80,N,4.0,D,N,2021AEA06175OE A,20,23289
36-225725,U,US,NY,NEW YORK,40.739161,-73.959756,40 44 20.98N,073 57 35.12W,BLDG,1,65,80,N,4.0,D,N,2021AEA06176OE A,20,23289
36-225723,U,US,NY,NEW YORK,40.739428,-73.958422,40 44 21.94N,073 57 30.32W,BLDG,1,34,49,N,4.0,D,N,2021AEA06174OE A,20,23289
